Filialname,Adresse,PLZ,Ort
Coop Pronto Adligenswil,Luzernerstrasse 7,6043,Adligenswil
Coop Pronto Ebikon,Luzernerstrasse 22,6030,Ebikon
Coop Pronto Schüpfheim,Hindervormüli 15,6170,Schüpfheim
Coop Pronto Emmenbrücke,Rothenburgstrasse 24,6020,Emmenbrücke
Coop Pronto Emmenbrücke,Seetalstrasse 44,6020,Emmenbrücke
Coop Pronto Horw,Kantonsstrasse 1,6048,Horw
Coop Pronto Kriens,Obernauerstrasse 3,6010,Kriens
Coop Pronto Luzern Bahnhof,Bahnhofplatz 2,6003,Luzern
Coop Pronto Luzern Brünigstrasse,Brünigstrasse 7,6005,Luzern
Coop Pronto Luzern Pilatusstrasse,Pilatusstrasse 20,6003,Luzern
Coop Pronto Wohlhusen,Menznauerstrasse 29,6110,Wohlhusen
Coop Pronto Luzern Sprengi,Zürichstrasse 43,6004,Luzern
Coop Pronto Dagmersellen,Altishoferstrasse 33,6252,Dagmersellen
Coop Pronto Rotkreuz,Blegistrasse 2,6343,Rotkreuz
Coop Pronto Sempach,Luzernerstrasse 11,6204,Sempach
Coop Pronto Sursee,Bahnhofstrasse 19,6210,Sursee
Coop Pronto Hochdorf,Alte Urswilstrasse 1,6280,Hochdorf
