Gemeindename,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,Kanton,Id,12500,15000,17500,20000,25000,30000,35000,40000,45000,50000,60000,70000,80000,90000,100000,125000,150000,175000,200000,250000,300000,400000,500000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss,score,score_normalized,rank
Luzern,82143.0,6.3,0.0,28831.0,LU,1061,0.4,0.5676666666666667,0.9094285714285715,1.38775,3.5596,5.519333333333334,7.0037142857142864,7.932,8.61288888888889,9.1946,10.313833333333333,11.086857142857143,11.712875000000002,12.19977777777778,12.570800000000002,13.245299999999999,13.822000000000001,14.333828571428572,14.7829125,15.624306000000002,16.217795000000002,16.95965625,17.400481000000003,18.2907145,2269177192,958667547,1310509646,2269177192,690496848,1578680345,127362320,16530196,972238917,0,462548911,394786148,39.385870095289846,1.0
Horw,97881.0,4.2,0.1,34273.0,LU,1058,0.4,0.5486666666666667,0.858857142857143,1.2955,3.2872000000000003,5.085333333333334,6.447428571428572,7.299000000000001,7.923555555555556,8.4572,9.484333333333334,10.193714285714286,10.76825,11.215111111111112,11.5556,12.174600000000002,12.704,13.173942857142858,13.586325000000002,14.359092,14.90419,15.585562500000002,15.990442000000002,16.808089000000002,384928403,166256524,218671878,384928403,132092994,252835409,49863557,1741828,7000000,0,194230025,63332784,6.318400014878564,2.0
Kriens,86729.0,5.0,0.0,29800.0,LU,1059,0.4,0.5784333333333334,0.9380857142857144,1.4400249999999999,3.71396,5.765266666666667,7.318942857142857,8.290700000000001,9.003511111111111,9.61246,10.783883333333332,11.59297142857143,12.248162500000001,12.757755555555555,13.14608,13.852030000000001,14.455533333333333,14.991097142857143,15.46097875,16.341260600000002,16.962171166666668,17.738309375,18.1995031,19.13086895,405091731,137540394,267551337,405091731,259477564,145614167,101901131,1098823,6028800,0,36585413,36521896,3.64360973346432,3.0
Sursee,94103.0,3.6,0.0,33285.0,LU,1103,0.4,0.5676666666666667,0.9094285714285715,1.38775,3.5596,5.519333333333334,7.0037142857142864,7.932,8.61288888888889,9.1946,10.313833333333333,11.086857142857143,11.712875000000002,12.19977777777778,12.570800000000002,13.245299999999999,13.822000000000001,14.333828571428572,14.7829125,15.624306000000002,16.217795000000002,16.95965625,17.400481000000003,18.2907145,216544252,74700513,141843739,216544252,97086145,119458107,58862353,7905070,0,0,52690684,29986568,2.9916122382581047,4.0
Meggen,129383.0,1.5,4.4,49795.0,LU,1063,0.4,0.5055366666666666,0.7440600000000002,1.0860925000000001,2.6688520000000002,4.100153333333333,5.18466,5.86209,6.35876888888889,6.783302000000001,7.601368333333334,8.16628,8.623951250000001,8.979917777777779,9.251096000000002,9.744111000000002,10.166140000000002,10.541002285714287,10.870071375000002,11.487056220000001,11.922306650000001,12.4663696875,12.789653470000001,13.442529115000001,173328711,80624092,92704618,173328711,66267064,107061646,10431646,10170584,39298439,0,47160977,26905096,2.6841889497027194,5.0
Hochdorf,94900.0,3.9,0.0,31488.0,LU,1031,0.4,0.5841333333333334,0.9532571428571428,1.4676999999999998,3.79568,5.895466666666667,7.485828571428571,8.480599999999999,9.210311111111109,9.833680000000001,11.032733333333333,11.860914285714284,12.53155,13.053155555555557,13.45064,14.173239999999998,14.790933333333333,15.339062857142856,15.819955,16.720824800000003,17.356252666666666,18.1505375,18.6225148,19.5756566,187708879,107119419,80589460,187708879,110058769,77650110,17703501,263543,28395593,0,31287473,19534967,1.9489074692098214,6.0
Rothenburg,110555.0,2.3,1.6,37040.0,LU,1040,0.4,0.5708333333333333,0.9178571428571428,1.403125,3.605,5.591666666666667,7.0964285714285715,8.0375,8.727777777777778,9.317499999999999,10.452083333333333,11.235714285714286,11.8703125,12.363888888888889,12.740000000000002,13.423750000000002,14.008333333333333,14.527142857142858,14.982343749999998,15.835175000000001,16.436729166666666,17.188671875,17.6354875,18.53781875,113211167,44204538,69006629,113211167,39432380,73778787,16456419,1747617,23688285,0,31886466,18574964,1.8531326968662676,7.0
Weggis,104859.0,2.2,5.8,38009.0,LU,1069,0.4,0.5480333333333335,0.8571714285714287,1.292425,3.2781200000000004,5.070866666666667,6.428885714285716,7.277900000000001,7.900577777777778,8.43262,9.456683333333334,10.163942857142859,10.736762500000003,11.18228888888889,11.521760000000002,12.138910000000001,12.666733333333335,13.135280000000002,13.546438750000004,14.316918200000003,14.86040316666667,15.539759375000003,15.943440700000004,16.758668150000002,96256992,34225217,62031775,96256992,27992138,68264854,8341592,1476372,0,0,58446890,17193634,1.7153242043080972,8.0
Willisau,89488.0,4.3,0.0,30033.0,LU,1151,0.4,0.5949,0.9819142857142856,1.519975,3.95004,6.1414,7.801057142857143,8.8393,9.600933333333334,10.251539999999999,11.502783333333333,12.367028571428571,13.0668375,13.611133333333333,14.02592,14.779969999999999,15.424466666666667,15.996331428571429,16.498021249999997,17.4377794,18.10062883333333,18.929190625,19.4215369,20.207639999999998,135910079,62571945,73338134,135910079,73513074,62397005,37105464,2491423,2812692,0,19987427,15718984,1.5682056348490208,9.0
Beromünster,103287.0,2.3,0.7,33795.0,LU,1081,0.4,0.5784333333333332,0.9380857142857142,1.4400249999999999,3.7139599999999993,5.765266666666666,7.318942857142856,8.2907,9.00351111111111,9.612459999999999,10.783883333333332,11.592971428571428,12.248162499999998,12.757755555555555,13.14608,13.85203,14.455533333333333,14.991097142857143,15.460978749999999,16.3412606,16.962171166666664,17.738309374999996,18.1995031,19.13086895,67587948,33762453,33825495,67587948,15971834,51616113,15066639,459254,0,0,36090221,13030661,1.3000048861941318,10.0
