Gemeindename,Einwohner per 31. Dez 2021,Fläche in km2,Einwohner pro km2,Amt,Wahlkreis,ID,Total Anzahl Wohngebäude,Heizöl,Gas,Holz,Wärmepumpen,Elektrizität,Andere,Anzahl Photovoltaik Anlagen,Installierte Leistung Gesamt (Wp/cap),Total Wohnungen,Einfamilienhäuser,1-2,3-4,5+,<50m2,50m2-99m2,100m2-149m2,150m2+,Einfamilienhäuser in %,Photovoltaik Anlagen in %,Score,Rangfolge
Schwarzenberg,1746,"39,30",44,Luzern,Luzern-Land,1066,588,37.2,0,28.1,27.9,6.6,0.2,53.0,584.2,885,370,111,422,352,46,295,331,213,41.80790960451977,9.013605442176871,8.564545489484956,1
Flühli,1827,"108,17",17,Entlebuch,Entlebuch,1004,1191,33.6,0.1,29.6,9.2,27.1,0.5,65.0,577.7,2212,497,540,1109,563,481,1148,444,139,22.468354430379748,5.4575986565911,7.2131329973560705,2
Romoos,639,"37,39",17,Entlebuch,Entlebuch,1007,223,10.8,0,67.3,19.3,2.2,0.4,17.0,605.7,338,52,29,168,141,21,126,115,76,15.384615384615385,7.623318385650224,6.898930665746809,3
Hasle,1725,"40,31",43,Entlebuch,Entlebuch,1005,517,28.2,0,32.9,28.2,9.9,0.8,49.0,912.8,817,212,90,392,335,44,298,283,192,25.948592411260712,9.477756286266924,5.719405461525684,4
Luthern,1263,"37,76",33,Willisau,Willisau,1135,361,23.3,0,59.6,13.6,3.6,0,35.0,1'924.9,582,106,56,274,252,27,209,203,143,18.213058419243985,9.695290858725762,5.350936327319228,5
Schongau,1068,"12,43",86,Hochdorf,Hochdorf,1041,298,18.1,0,36.2,41.9,3.4,0.3,43.0,1'422.6,479,148,40,185,254,22,122,167,168,30.89770354906054,14.429530201342283,5.18417844782895,6
Hohenrain,2428,"23,23",105,Hochdorf,Hochdorf,1032,676,35.9,0.1,28.6,23.4,10.2,1.8,89.0,1'376.0,1032,365,66,368,598,33,325,361,313,35.36821705426357,13.165680473372781,4.43472994904122,7
Ufhusen,928,"12,21",76,Willisau,Willisau,1145,253,31.2,0,43.9,20.6,4.0,0.4,33.0,1'870.8,414,105,36,168,210,14,125,167,108,25.36231884057971,13.043478260869565,4.352800716346632,8
Altbüron,1042,"6,75",154,Willisau,Willisau,1122,272,34.2,0,16.9,45.2,3.7,0,58.0,2'626.2,467,143,46,202,219,14,154,180,119,30.620985010706637,21.323529411764707,4.2399186655390215,9
Entlebuch,3257,"56,90",57,Entlebuch,Entlebuch,1002,904,32.1,0,34.7,25.7,5.6,1.9,106.0,1'130.6,1690,331,260,820,610,141,655,565,329,19.585798816568047,11.725663716814159,4.02906123768866,10
Fischbach,703,"8,05",87,Willisau,Willisau,1129,185,42.7,0.5,33.5,18.9,4.3,0,20.0,727.9,304,83,28,152,124,19,73,130,82,27.302631578947366,10.81081081081081,3.3926848808881473,11
Hergiswil,1934,"31,34",62,Willisau,Willisau,1132,473,17.3,0,52.2,25.4,4.2,0.8,53.0,1'265.5,836,155,91,363,382,30,253,350,203,18.54066985645933,11.20507399577167,3.350799639883873,12
Schlierbach,933,"7,17",130,Sursee,Sursee,1100,233,28.8,0.4,20.2,45.1,5.2,0.4,27.0,886.6,391,141,27,147,217,14,101,121,155,36.0613810741688,11.587982832618025,3.214451267753574,13
Grossdietwil,861,"10,20",84,Willisau,Willisau,1131,223,44.4,0.4,30.5,18.8,5.4,0.4,26.0,1'451.3,417,88,54,204,159,49,169,124,75,21.103117505995204,11.659192825112108,2.929110907302345,14
Escholzmatt-Marbach,4354,"106,40",41,Entlebuch,Entlebuch,1010,1312,22.5,0.4,49.2,19.9,7.9,0.2,88.0,528.0,2339,404,339,1124,876,134,983,792,430,17.272338606241984,6.707317073170732,2.8256354055422643,15
Beromünster,6702,"42,13",159,Sursee,Sursee,1081,1523,40.9,0.7,14.6,37.3,3.7,2.8,204.0,1'058.4,2925,866,370,1248,1307,177,969,1002,777,29.606837606837605,13.3946158896914,2.494164889635597,16
Hitzkirch,5959,"27,59",216,Hochdorf,Hochdorf,1030,1529,36.6,0.5,19.8,31.4,9.6,2.2,209.0,823.1,2649,979,275,1160,1214,120,798,952,779,36.95734239335599,13.66906474820144,2.3387606763714484,17
Römerswil,1807,"16,60",109,Hochdorf,Hochdorf,1039,433,30.5,0,33.9,29.6,5.8,0.2,37.0,532.7,783,233,59,364,360,32,193,306,252,29.757343550446997,8.545034642032332,2.332821389847954,18
Schüpfheim,4258,"38,38",111,Entlebuch,Entlebuch,1008,1058,31.3,0.4,31.9,28.7,7.7,0.1,120.0,858.5,2033,464,282,974,777,134,696,758,445,22.823413674372848,11.342155009451796,2.332132394050258,19
Roggliswil,744,"6,21",120,Willisau,Willisau,1142,203,36.0,1.0,28.6,27.6,3.0,3.9,21.0,612.2,353,94,18,182,153,8,107,145,93,26.628895184135974,10.344827586206897,2.295594412425515,20
Altishofen,1989,"14,32",139,Willisau,Willisau,1123,413,41.9,0.2,29.5,23.2,4.6,0.5,55.0,2'768.3,833,196,81,428,324,27,301,297,208,23.52941176470588,13.317191283292978,2.2542854478701613,21
Menznau,3024,"30,34",100,Willisau,Willisau,1136,658,38.4,0.5,35.0,20.8,5.3,0,84.0,821.6,1400,241,172,690,538,59,479,537,325,17.214285714285715,12.76595744680851,2.197568389057751,22
Zell,2086,"13,91",150,Willisau,Willisau,1150,486,47.1,0.2,24.5,23.9,4.3,0,67.0,937.9,965,229,91,484,390,31,344,358,232,23.730569948186528,13.786008230452676,2.180998884126883,23
Buttisholz,3338,"16,71",200,Sursee,Sursee,1083,715,32.0,0.1,19.7,39.0,5.6,3.5,115.0,1'524.6,1422,375,185,584,653,78,464,528,352,26.371308016877638,16.083916083916083,2.120769525832817,24
