Gemeindename,Total Anzahl Personen Sozialhilfe,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Total Anzahl Unfälle 2021,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,Total Verunfallte Personen,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Score,Rank
Adligenswil,42.0,29.0,0.8,0.4,3.6,1.2,0.9,0.2,0.0,0.2,0.0,8.0,3,0.5,4.0,3.0,0,3,3,0,0,0,16.75,27.0
Aesch,11.0,10.0,0.9,0.9,0.6,0.5,1.2,0.0,0.0,0.0,0.0,3.0,1,0.8,3.0,4.0,0,4,3,1,0,0,7.25,10.0
Alberswil,9.0,5.0,1.4,1.0,3.3,2.6,1.3,0.0,0.0,0.0,0.0,9.0,4,6.0,3.0,4.0,0,4,4,0,0,0,9.75,16.0
Altbüron,25.0,12.0,2.5,2.1,2.7,6.1,2.0,0.0,0.0,0.0,0.0,6.0,1,1.0,2.0,1.0,0,1,1,0,0,0,10.0,17.0
Altishofen,25.0,17.0,1.3,0.5,5.3,2.1,1.3,0.0,0.0,0.0,0.0,8.0,5,2.5,4.0,5.0,0,5,4,1,0,0,14.0,25.0
Ballwil,16.0,11.0,0.6,0.4,3.2,0.7,0.7,0.0,0.0,0.4,0.0,21.0,6,2.2,7.0,9.0,0,9,9,0,0,0,21.25,32.0
Beromünster,80.0,51.0,1.2,0.7,5.0,1.5,1.4,0.0,0.0,0.6,0.0,28.0,11,1.6,13.0,12.0,0,12,10,1,1,0,43.0,51.0
Buchrain,157.0,77.0,2.5,1.1,7.5,5.0,2.0,0.8,0.0,0.5,0.3,60.0,26,4.0,28.0,33.0,0,33,25,7,1,0,94.0,59.0
Büron,40.0,22.0,1.5,0.9,3.2,2.4,1.5,0.0,0.0,0.4,0.0,6.0,1,0.4,4.0,1.0,0,1,1,0,0,0,13.75,24.0
Buttisholz,18.0,13.0,0.5,0.3,2.0,0.4,0.7,0.0,0.0,0.4,0.2,12.0,6,1.8,4.0,7.0,0,7,6,1,0,0,15.75,26.0
